0.001, 0.0851094
0.011, 0.065001
0.021, 0.0648817
0.031, 0.0480838
0.041, 0.0394971
0.051, 0.0299239
0.061, 0.0467523
0.071, 0.0316838
0.081, 0.0568704
0.091, 0.0455161
0.101, 0.0231762
0.111, 0.0468456
0.121, 0.000284541
0.131, 0.0290192
0.141, 0.0337191
0.151, 0.0469753
0.161, 0.0497094
0.171, 0.0579264
0.181, 0.0255638
0.191, 0.000571563
0.201, 0.0567599
0.211, 0.0382261
0.221, 0.01254
0.231, 0.0399309
0.241, 0.0533293
0.251, 0.0583335
0.261, 0.0784528
0.271, 0.0600211
0.281, 0.0691632
0.291, 0.0991727
